Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
124,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
125,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
126,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
127,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
128,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
129,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
130,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
131,28.7503761,77.1133768,-0.15,274.14,-0.44,-1.14
132,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
133,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
134,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
135,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
136,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
137,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
138,28.7503761,77.1133769,-0.15,274.2,-0.45,-1.13
139,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
140,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
141,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
142,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
143,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
144,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
145,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
146,28.7503761,77.113377,-0.16,274.14,-0.46,-1.14
147,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
148,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
149,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
150,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
151,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
152,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
153,28.7503762,77.1133771,-0.15,274.15,-0.57,-1.06
154,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
155,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
156,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
157,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
158,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
159,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
160,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
161,28.7503762,77.1133772,-0.12,274.19,-0.58,-1.12
162,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
163,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
164,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
165,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
166,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
167,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
168,28.7503763,77.1133773,-0.1,274.23,-0.55,-0.91
169,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
170,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
171,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
172,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
173,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
174,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
175,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
176,28.7503763,77.1133773,-0.08,274.21,-0.52,-1.16
177,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
178,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
179,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
180,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
181,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
182,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
183,28.7503763,77.1133773,-0.07,274.26,-0.53,-1.19
184,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
185,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
186,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
187,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
188,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
189,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
190,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
191,28.7503764,77.1133773,-0.06,274.26,-0.6,-1.15
192,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
193,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
194,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
195,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
196,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
197,28.7503766,77.1133773,-0.05,274.09,-0.63,-0.82
